Date,County Name,Partially Vaccinated,Fully Vaccinated,First Booster Dose,Second Booster Dose
12/20/2020,Butler,30,,,
12/20/2020,Cambria,9,,,
12/20/2020,Carbon,17,,,
01/19/2021,Berks,801,474,,
12/20/2020,Clarion,3,,,
12/20/2020,Clinton,13,,,
12/14/2021,Juniata,10,14,65,
12/20/2020,Crawford,5,,,
12/20/2020,Cumberland,157,,,
03/14/2021,Lackawanna,144,403,,
02/02/2022,Elk,5,10,11,
12/20/2020,Elk,1,,,
12/20/2020,Erie,132,,,
12/20/2020,Fayette,2,,,
12/20/2020,Franklin,4,,,
07/08/2021,Somerset,29,36,,
06/04/2022,Cameron,,,,1
12/20/2020,Jefferson,2,,,
12/20/2020,Juniata,2,,,
05/19/2021,Westmoreland,823,1173,,
09/15/2021,Luzerne,193,270,84,
12/20/2020,Lycoming,18,,,
12/20/2020,Mercer,1,,,
12/20/2020,Mifflin,24,,,
01/25/2022,Schuylkill,56,89,192,
12/20/2020,Montour,61,,,
12/20/2020,Northampton,233,,,
12/20/2020,Northumberland,43,,,
12/20/2020,Perry,18,,,
01/06/2021,Lawrence,93,5,,
12/20/2020,Pike,3,,,
02/16/2022,Huntingdon,22,27,18,
12/20/2020,Snyder,10,,,
03/01/2021,Cambria,147,248,,
12/20/2020,Susquehanna,5,,,
12/20/2020,Tioga,2,,,
10/22/2021,Bradford,39,47,138,
12/20/2020,Venango,2,,,
12/20/2020,Washington,24,,,
12/20/2020,Wyoming,5,,,
02/25/2022,Greene,11,22,15,
06/25/2022,Jefferson,1,1,1,
05/31/2022,Wayne,1,2,2,16
02/17/2022,Tioga,4,22,15,
02/19/2021,Franklin,305,493,,
01/09/2021,Northampton,709,176,,
09/03/2021,Lehigh,490,489,168,
12/21/2020,Blair,154,,,
12/21/2020,Bradford,101,,,
01/18/2021,Blair,222,437,,
01/02/2022,Lackawanna,91,44,142,
02/27/2021,Susquehanna,99,97,,
12/21/2020,Cameron,2,,,
10/27/2021,Crawford,54,42,147,
12/21/2020,Centre,201,,,
12/21/2020,Clarion,18,,,
